2026-03-04 18:09:35,616 | WARNING  | AHL: error during evaluation: 'NoneType' object has no attribute 'empty'
2026-03-04 18:09:41,117 | INFO     | [PERF] ================================================================================
2026-03-04 18:09:41,118 | INFO     | [PERF] TRADING DASHBOARD - 2026-03-04 17:09:41 UTC
2026-03-04 18:09:41,118 | INFO     | [PERF] ================================================================================
2026-03-04 18:09:41,118 | INFO     | [PERF] Account Balance: $94,690.14 | Cash Available: $94,457.23 | Buying Power: $631,267.61
2026-03-04 18:09:41,118 | INFO     | [PERF] --------------------------------------------------------------------------------
2026-03-04 18:09:41,118 | INFO     | [PERF] 
2026-03-04 18:09:41,118 | INFO     | [PERF] OPEN POSITIONS
2026-03-04 18:09:41,118 | INFO     | [PERF] --------------------------------------------------------------------------------
2026-03-04 18:09:41,119 | INFO     | [PERF] No open positions.
2026-03-04 18:09:41,119 | INFO     | [PERF] 
2026-03-04 18:09:41,119 | INFO     | [PERF] TODAY'S PERFORMANCE
2026-03-04 18:09:41,119 | INFO     | [PERF] --------------------------------------------------------------------------------
2026-03-04 18:09:41,119 | INFO     | [PERF] No trades today.
2026-03-04 18:09:41,119 | INFO     | [PERF] 
2026-03-04 18:09:41,119 | INFO     | [PERF] CLOSED POSITIONS - Last 100 Trades
2026-03-04 18:09:41,122 | INFO     | [PERF] --------------------------------------------------------------------------------
2026-03-04 18:09:41,122 | INFO     | [PERF] No closed positions yet.
2026-03-04 18:09:41,122 | INFO     | [PERF] ================================================================================
2026-03-04 18:10:11,649 | INFO     | Scanning block 4: ALKS → AMTM (n=50)
2026-03-04 18:10:54,605 | INFO     | Scanning block 5: AMWD → ARDX (n=50)
2026-03-04 18:11:21,842 | INFO     | [PERF] ================================================================================
2026-03-04 18:11:21,844 | INFO     | [PERF] TRADING DASHBOARD - 2026-03-04 17:11:21 UTC
2026-03-04 18:11:21,845 | INFO     | [PERF] ================================================================================
2026-03-04 18:11:21,845 | INFO     | [PERF] Account Balance: $94,690.63 | Cash Available: $94,457.71 | Buying Power: $631,270.88
2026-03-04 18:11:21,846 | INFO     | [PERF] --------------------------------------------------------------------------------
2026-03-04 18:11:21,846 | INFO     | [PERF] 
2026-03-04 18:11:21,846 | INFO     | [PERF] OPEN POSITIONS
2026-03-04 18:11:21,847 | INFO     | [PERF] --------------------------------------------------------------------------------
2026-03-04 18:11:21,847 | INFO     | [PERF] No open positions.
2026-03-04 18:11:21,847 | INFO     | [PERF] 
2026-03-04 18:11:21,847 | INFO     | [PERF] TODAY'S PERFORMANCE
2026-03-04 18:11:21,847 | INFO     | [PERF] --------------------------------------------------------------------------------
2026-03-04 18:11:21,847 | INFO     | [PERF] No trades today.
2026-03-04 18:11:21,847 | INFO     | [PERF] 
2026-03-04 18:11:21,847 | INFO     | [PERF] CLOSED POSITIONS - Last 100 Trades
2026-03-04 18:11:21,847 | INFO     | [PERF] --------------------------------------------------------------------------------
2026-03-04 18:11:21,849 | INFO     | [PERF] No closed positions yet.
2026-03-04 18:11:21,849 | INFO     | [PERF] ================================================================================
2026-03-04 18:11:21,852 | INFO     | Account Status: Balance=$94690.63, Buying Power=$631270.88
2026-03-04 18:11:45,019 | INFO     | Summary @ block 5 | symbols=250 | e1=6 (2.4%) | e2=4 (66.7%) | e3=0 (0.0%) | e4=0 (0.0%) | e5=0 (0.0%) | final=0 (0.0%)
2026-03-04 18:11:45,020 | INFO     | ================================================================================================
2026-03-04 18:11:45,020 | INFO     | EDGE SCANNER PIPELINE STATS
2026-03-04 18:11:45,020 | INFO     | ================================================================================================
2026-03-04 18:11:45,020 | INFO     | Total scanned: 250
2026-03-04 18:11:45,020 | INFO     | Stage                  Passed     Cum %    Step %   Filtered
2026-03-04 18:11:45,020 | INFO     | ------------------------------------------------------------------------------------------------
2026-03-04 18:11:45,020 | INFO     | Ebene 0 Price             211     84.4%     84.4%         39
2026-03-04 18:11:45,020 | INFO     | Ebene 1 Move                6      2.4%      2.8%        205
2026-03-04 18:11:45,020 | INFO     | Ebene 2 Volume              4      1.6%     66.7%          2
2026-03-04 18:11:45,020 | INFO     | Ebene 3 Direction           0      0.0%      0.0%          4
2026-03-04 18:11:45,020 | INFO     | Ebene 4 Catalyst            0      0.0%      0.0%          0
2026-03-04 18:11:45,020 | INFO     | Ebene 5 Risk                0      0.0%      0.0%          0
2026-03-04 18:11:45,020 | INFO     | Final Signals               0      0.0%      0.0%          0
2026-03-04 18:11:45,020 | INFO     | ------------------------------------------------------------------------------------------------
2026-03-04 18:11:45,024 | INFO     | Funnel: 250 -> 211 -> 6 -> 4 -> 0 -> 0 -> 0
2026-03-04 18:11:45,024 | INFO     | ================================================================================================
2026-03-04 18:11:45,024 | INFO     | ============================================================
2026-03-04 18:11:45,024 | INFO     | RATE LIMITER STATISTICS
2026-03-04 18:11:45,024 | INFO     | ============================================================
2026-03-04 18:11:45,024 | INFO     | Total Requests:     505
2026-03-04 18:11:45,024 | INFO     | Throttled:          0 (0.0%)
2026-03-04 18:11:45,024 | INFO     | Total Wait Time:    0.00s
2026-03-04 18:11:45,025 | INFO     | Avg Wait Time:      0.000s
2026-03-04 18:11:45,025 | INFO     | Current Rate:       2 req/s
2026-03-04 18:11:45,025 | INFO     | Historical Rate:    255 req/10min
2026-03-04 18:11:45,025 | INFO     | ============================================================
2026-03-04 18:11:45,025 | INFO     | Scanning block 6: ARE → ATGE (n=50)
